Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;18/11/2021;Transferência - Liquidação;VILG11 - FII VINCI LG;NU INVEST CORRETORA DE VALORES S.A.;2; R$92,03 ; R$184,06 
Credito;16/11/2021;Transferência - Liquidação;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;2; R$10,25 ; R$20,50 
Credito;16/11/2021;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;685; R$0,06 ; R$41,10 
Credito;16/11/2021;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;70; R$1,08 ; R$75,64 
Credito;16/11/2021;Atualização;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;17; - ; - 
Credito;16/11/2021;Rendimento;RECR13 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;17; R$0,62 ; R$10,56 
Credito;16/11/2021;Rendimento;VINO11 - VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;47; R$0,54 ; R$25,38 
Credito;16/11/2021;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;NU INVEST CORRETORA DE VALORES S.A.;40; R$0,62 ; R$24,80 
Credito;16/11/2021;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;NU INVEST CORRETORA DE VALORES S.A.;71; R$0,64 ; R$45,44 
Debito;11/11/2021;Transferência - Liquidação;BIDI11 - BANCO INTER S/A;NU INVEST CORRETORA DE VALORES S.A.;25; R$42,95 ; R$1.073,75 
Debito;11/11/2021;Transferência - Liquidação;GGRC11 - GGR COVEPI RENDA FDO INV IMOB;NU INVEST CORRETORA DE VALORES S.A.;34; R$110,00 ; R$3.740,00 
Credito;11/11/2021;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;229; R$7,51 ; R$1.721,63 
Credito;11/11/2021;Dividendo;KLBN4 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;303; R$0,05 ; R$16,55 
Credito;11/11/2021;Juros Sobre Capital Próprio;KLBN4 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;303; R$0,02 ; R$4,78 
Debito;11/11/2021;Transferência - Liquidação;RDOR3 - REDE DOR SAO LUIZ S/A;NU INVEST CORRETORA DE VALORES S.A.;27; R$58,32 ; R$1.574,90 
Credito;11/11/2021;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;10; R$98,63 ; R$986,39 
